true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,1,19,17,0,2.275082588,17.3756671
1,1,28,24,0,0.783794641,16.84210658
1,1,20,22,0,0.850107193,16.41217971
1,1,17,18,0,2.273767233,2.106617928
1,1,14,12,0,0.879117012,16.07059574
1,1,16,12,0,2.268221617,17.38134933
1,1,21,24,0,0.707155466,10.6206758
1,1,16,12,0,2.335912466,1.910796642
1,1,18,17,0,2.151760817,16.67059398
1,1,17,16,0,0.855457544,16.16513276
1,1,19,20,0,0.801912785,16.12623978
1,1,10,9,0,2.345640421,1.986256838
1,1,22,17,0,0.877980471,1.96300149
1,1,14,12,0,2.346135855,11.43974638
1,1,16,14,0,3.060731888,10.56608462
1,1,12,11,0,0.843192816,1.910103798
1,1,14,10,0,2.345861673,17.30134058
1,1,15,16,0,0.936617136,17.46306849
1,1,21,15,0,0.868789196,16.00870323
1,1,13,15,0,2.39673543,17.98456597
1,1,25,20,0,0.913498402,16.32764339
1,1,17,14,0,2.151204109,17.33449316
1,1,21,22,0,2.280155897,18.18309474
1,1,10,11,0,0.91840148,17.50494051
1,1,26,27,0,0.749362946,16.78467464
1,1,15,11,0,0.858469248,1.220760345
1,1,17,14,0,0.790531635,1.309449911
1,1,13,13,0,0.846449375,16.95435905
1,1,27,26,0,0.820495605,11.35372233
1,1,23,21,0,2.35646081,17.03038907
1,1,14,13,0,2.332872391,11.52465868
1,1,15,15,0,2.324399948,1.438565731
1,1,10,9,0,0.907274961,1.201185465
1,1,21,13,0,2.177988529,16.31142402
1,1,25,23,0,0.740232944,2.960831165
1,1,28,25,0,0.901626348,17.14143348
1,1,16,10,0,0.841272354,2.191815138
1,1,13,21,0,0.779473066,17.23205256
1,1,27,28,0,0.924252033,16.78375149
1,1,29,26,0,0.838413239,17.00936103
1,1,16,15,0,0.871289968,1.993026257
1,1,13,11,0,2.250090599,12.23817635
1,1,16,15,0,0.929175138,11.19946146
1,1,23,16,0,0.897819757,16.93248367
1,1,14,11,0,0.784956932,16.71716094
1,1,14,19,0,0.876176119,11.87423015
1,1,13,6,0,0.878523827,1.616857529
1,1,17,13,0,2.146852493,1.963482141
1,1,16,14,0,0.831616402,1.874756336
1,1,24,18,0,2.542866707,17.92838073
1,1,16,20,0,0.911257982,16.66348577
1,1,22,26,0,0.911376715,11.1262958
1,1,17,22,0,0.88156867,11.78431535
1,1,11,14,0,2.048532009,17.76387024
1,1,16,18,0,0.792697668,1.430453539
1,1,13,13,0,2.136244059,10.74402928
1,1,19,20,0,0.83733511,14.81520152
1,1,16,14,0,0.879049063,2.0785532
1,1,11,14,0,2.26526165,18.62314224
1,1,24,21,0,2.42520833,18.65970874
1,1,21,22,0,0.915300131,18.16483903
1,1,20,19,0,0.830837488,16.60902643
1,1,21,17,0,2.220474005,16.71742535
1,1,27,30,0,2.211521864,11.32606983
1,1,16,18,0,2.365785599,17.40514779
1,1,12,21,0,2.286419868,17.60092282
1,1,25,17,0,0.851583242,11.53111553
1,1,19,21,0,0.850778818,16.21221113
1,1,20,22,0,0.884110212,3.229467154
1,1,8,10,0,2.385457516,17.87988043
1,1,19,15,0,2.330115318,17.80088091
1,1,28,27,0,0.94533205,16.88726616
1,1,17,22,0,0.854179382,15.99095321
1,1,30,24,0,2.140776157,17.34382868
1,1,14,17,0,2.307317972,17.09360361
1,1,18,16,0,0.924589872,17.56491017
1,1,11,11,0,2.396761656,17.94616628
1,1,14,10,0,2.296622992,17.89445567
1,1,21,24,0,2.175806522,17.45734406
1,1,15,12,0,2.302003384,11.60742426
1,1,14,13,0,2.135323048,18.54631543
1,1,16,16,0,0.95221138,2.674652576
1,1,20,21,0,0.819957972,2.761435509
1,1,17,19,0,0.904216766,16.20634294
1,1,18,22,0,2.103841305,16.33179212
1,1,17,16,0,0.797793627,11.17529345
1,1,11,10,0,2.250888586,17.4499824
1,1,24,21,0,0.911620855,16.98068118
1,1,19,17,0,0.800964117,16.73754072
1,1,17,20,0,0.952201366,2.716277838
1,1,12,11,0,0.803422451,1.40364933
